nama_kecamatan;nama_desa
Sooko;Bedoho
Sooko;Jurug
Sooko;Klepu
Sooko;Ngadirojo
Sooko;Sooko
Sooko;Suru
Sukorejo;Bangunrejo
Sukorejo;Gandukepuh
Sukorejo;Gegeran
Sukorejo;Gelanglor
Sukorejo;Golan
Sukorejo;Kalimalang
Sukorejo;Karanglolor
Sukorejo;Kedungbanteng
Sukorejo;Kranggan
Sukorejo;Lengkong
Sukorejo;Morosari
Sukorejo;Nambangrejo
Sukorejo;Nampan
Sukorejo;Prajegan
Sukorejo;Serangan
Sukorejo;Sidorejo
Sukorejo;Sukorejo
Sukorejo;Sragi
